kanji,hiragana,english,kanji_required
会う,あう,to meet,x
青,あお,blue,x
青い,あおい,blue,x
赤,あか,red,x
赤い,あかい,red,x
明い,あかるい,bright,x
秋,あき,autumn,x
開く,あく,"to open,to become open",x
開ける,あける,to open,x
上げる,あげる,to give,x
朝,あさ,morning,x
朝御飯,あさごはん,breakfast,x
,あさって,day after tomorrow,
足,あし,"foot,leg",x
明日,あした,tomorrow,x
,あそこ,over there,
遊ぶ,あそぶ,"to play,to make a visit",
暖かい,あたたかい,warm,x
頭,あたま,head,x
新しい,あたらしい,new,x
,あちら,there,
暑い,あつい,hot,x
熱い,あつい,hot to the touch,x
厚い,あつい,"kind, deep, thick",
,あっち,over there,
後,あと,afterwards,x
,あなた,you,
兄,あに,(humble) older brother,x
姉,あね,(humble) older sister,x
,あの,that over there,
,あの,um...,
,アパート,apartment,
,あびる,"to bathe,to shower",
危ない,あぶない,dangerous,x
甘い,あまい,sweet,x
,あまり,not very,
雨,あめ,rain,x
飴,あめ,candy,
洗う,あらう,to wash,x
,ある,"to be,to have (used for inanimate objects)",
歩く,あるく,to walk,x
,あれ,that,
,いい/よい,good,
,いいえ,no,
言う,いう,to say,x
家,いえ,house,x
,いかが,how,
行く,いく,to go,x
,いくつ,"how many?,how old?",
,いくら,how much?,
池,いけ,pond,
医者,いしゃ,medical doctor,
,いす,chair,
忙しい,いそがしい,"busy,irritated",x
痛い,いたい,painful,x
一,いち,one,x
一日,いちにち,"(1) one day, (2) first of month",x
,いちばん,"best,first",
,いつ,when,
五日,いつか,"five days, fifth day",x
一緒,いっしょ,together,
五つ,いつつ,five,x
,いつも,always,
犬,いぬ,dog,x
今,いま,now,x
意味,いみ,meaning,
妹,いもうと,(humble) younger sister,x
嫌,いや,unpleasant,
入口,いりぐち,entrance,x
居る,いる,"to be, to have (used for people and animals)",x
要る,いる,to need,x
入れる,いれる,to put in,x
色,いろ,colour,x
,いろいろ,various,
上,うえ,on top of,x
後ろ,うしろ,behind,x
薄い,うすい,"thin,weak",
歌,うた,song,
歌う,うたう,to sing,
生まれる,うまれる,to be born,x
海,うみ,sea,x
売る,うる,to sell,
煩い,うるさい,"noisy,annoying",
上着,うわぎ,jacket,
絵,え,picture,
映画,えいが,movie,x
映画館,えいがかん,cinema,x
英語,えいご,English language,x
,ええ,yes,
駅,えき,station,x
,エレベーター,elevator,
鉛筆,えんぴつ,pencil,
,おいしい,delicious,
多い,おおい,many,x
大きい,おおきい,big,x
大きな,おおきな,big,x
大勢,おおぜい,great number of people,x
お母さん,おかあさん,(honorable) mother,x
お菓子,おかし,"sweets, candy",
お金,おかね,money,x
起きる,おきる,to get up,x
置く,おく,to put,
奥さん,おくさん,(honorable) wife,x
お酒,おさけ,"alcohol, rice wine",x
お皿,おさら,"plate, dish",x
伯父/叔父,おじいさん,"grandfather,male senior citizen",x
教える,おしえる,"to teach,to tell",x
伯父/叔父,おじさん,"uncle,middle aged gentleman",x
押す,おす,"to push, to stamp something",
遅い,おそい,"late,slow",x
お茶,おちゃ,green tea,
お手洗い,おてあらい,bathroom,x
お父さん,おとうさん,(honorable) father,x
弟,おとうと,younger brother,x
