kanji,hiragana,english,kanji_required
封筒,ふうとう,envelope,
,ガス,gas,
,どっち,which,
村,むら,village,x
食堂,しょくどう,dining hall,x
お宅,おたく,(polite) your house,
髪,かみ,hair,
,きっと,surely,
病院,びょういん,hospital,x
,テニス,tennis,
,そちら,over there,
二十日,はつか,"twenty days,twentieth",x
お手洗い,おてあらい,bathroom,x
,ひげ,beard,
眼鏡,めがね,glasses,
木曜日,もくようび,Thursday,x
,クラス,class,
五,ご,five,x
億,おく,one hundred million,
広い,ひろい,"spacious,wide",x
紹介,しょうかい,introduction,
kanji,hiragana,english,kanji_required
,など,et cetera,
,どんどん,more and more,
高校,こうこう,high school,
