kanji,hiragana,english
部長,ぶちょう,head of a section
住む,すむ,to live in
思い出す,おもいだす,to remember
黒い,くろい,black
出る,でる,"to appear,to leave"
興味,きょうみ,an interest
肉,にく,meat
,ひきだす,to withdraw
池,いけ,pond
,ワイシャツ,business shirt
祈る,いのる,to pray
,いくら,how much?
,アフリカ,Africa
三,さん,three
講堂,こうどう,auditorium
,ケーキ,cake
翻訳,ほんやく,translation
消える,きえる,to disappear
地震,じしん,earthquake
途中,とちゅう,on the way
復習,ふくしゅう,revision
日曜日,にちようび,Sunday
傘,かさ,umbrella
,ホテル,hotel
泳ぎ方,およぎかた,way of swimming
起す,おこす,to wake
黄色,きいろ,yellow
二階建て,にかいだて,two storied
今夜,こんや,tonight
今度,こんど,"now,next time"
,テレビ,television
