kanji,hiragana,english,kanji_required
涼しい,すずしい,refreshing,
木,き,"tree,wood",x
頼む,たのむ,to ask,
科学,かがく,science,
,パソコン,personal computer,
,いくつ,"how many?,how old?",
休み,やすみ,"rest,holiday",x
五日,いつか,"five days, fifth day",x
急,きゅう,"urgent, steep",
外国,がいこく,foreign country,x
,ステーキ,steak,
工業,こうぎょう,the manufacturing industry,
押す,おす,"to push, to stamp something",
,ガラス,a glass pane,
用事,ようじ,things to do,
指,ゆび,finger,
,あんな,such,
,カメラ,camera,
,オートバイ,motorcycle,
,パート,part time,
調べる,しらべる,to investigate,
一月,ひとつき,one month,x
開く,あく,"to open,to become open",x
銀行,ぎんこう,bank,x
受付,うけつけ,receipt,
